id,record_id,record_object_id,record_workspace_id,name,value,active_from,active_until,created_at,_fivetran_synced,_fivetran_deleted
rv_001,rec_001,obj_001,ws_001,name,Acme Corp,2024-01-10T09:00:00,,2024-01-10T09:00:00,2024-01-10T09:00:00,false
rv_002,rec_001,obj_001,ws_001,domains,acme.com,2024-01-10T09:00:00,,2024-01-10T09:00:00,2024-01-10T09:00:00,false
rv_003,rec_001,obj_001,ws_001,employee_range,100-500,2024-01-10T09:00:00,,2024-01-10T09:00:00,2024-01-10T09:00:00,false
rv_004,rec_001,obj_001,ws_001,annual_revenue,5000000,2024-01-10T09:00:00,,2024-01-10T09:00:00,2024-01-10T09:00:00,false
rv_005,rec_001,obj_001,ws_001,primary_location,San Francisco CA,2024-01-10T09:00:00,,2024-01-10T09:00:00,2024-01-10T09:00:00,false
rv_006,rec_001,obj_001,ws_001,categories,oao_001,2024-01-10T09:00:00,,2024-01-10T09:00:00,2024-01-10T09:00:00,false
rv_007,rec_001,obj_001,ws_001,owner,wm_001,2024-01-10T09:00:00,,2024-01-10T09:00:00,2024-01-10T09:00:00,false
rv_008,rec_002,obj_001,ws_001,name,Globex Inc,2024-01-11T10:00:00,,2024-01-11T10:00:00,2024-01-11T10:00:00,false
rv_009,rec_002,obj_001,ws_001,domains,globex.com,2024-01-11T10:00:00,,2024-01-11T10:00:00,2024-01-11T10:00:00,false
rv_010,rec_002,obj_001,ws_001,employee_range,500-1000,2024-01-11T10:00:00,,2024-01-11T10:00:00,2024-01-11T10:00:00,false
rv_011,rec_002,obj_001,ws_001,annual_revenue,20000000,2024-01-11T10:00:00,,2024-01-11T10:00:00,2024-01-11T10:00:00,false
rv_012,rec_002,obj_001,ws_001,primary_location,New York NY,2024-01-11T10:00:00,,2024-01-11T10:00:00,2024-01-11T10:00:00,false
rv_013,rec_002,obj_001,ws_001,categories,oao_002,2024-01-11T10:00:00,,2024-01-11T10:00:00,2024-01-11T10:00:00,false
rv_014,rec_002,obj_001,ws_001,owner,wm_002,2024-01-11T10:00:00,,2024-01-11T10:00:00,2024-01-11T10:00:00,false
rv_015,rec_003,obj_001,ws_001,name,Initech,2024-01-12T11:00:00,,2024-01-12T11:00:00,2024-01-12T11:00:00,false
